,,1,2,3,4,5,6,,7,8,9,10,11,12,,13,14,15,16,17,18,,19,20,21,22,23,24,,,,,
Atividade/Chuva,"PRODUTIVIDADE
ESPERADA",Segunda,Terça,Quarta,Quinta,Sexta,Sábado,Domingo,Segunda,Terça,Quarta,Quinta,Sexta,Sábado,Domingo,Segunda,Terça,Quarta,Quinta,Sexta,Sábado,Domingo,Segunda,Terça,Quarta,Quinta,Sexta,Sábado,Domingo,,,,
,,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7,Dia 8,Dia 9,Dia 10,Dia 11,Dia 12,Dia 13,Dia 14,Dia 15,Dia 16,Dia 17,Dia 18,Dia 19,Dia 20,Dia 21,Dia 22,Dia 23,Dia 24,Dia 25,Dia 26,Dia 27,Dia 28,,,,
,,14/09/26,15/09/26,16/09/26,17/09/26,18/09/26,19/09/26,20/09/26,21/09/26,22/09/26,23/09/26,24/09/26,25/09/26,26/09/26,27/09/26,28/09/26,29/09/26,30/09/26,01/10/26,02/10/26,03/10/26,04/10/26,05/10/26,06/10/26,07/10/26,08/10/26,09/10/26,10/10/26,11/10/26,"Acumulado
Missão","Meta da
Missão","Percentual
de Avanço","
"
Chuva (mm),,,0,3,5,0,,,0,0,20,,,,,,,,,,,,,,,,,,,28,Indefinido,#VALUE!,
Escavação drenagem para canaletas,80m/dia,RECEBIMENTO DO SERVIÇO,80,80,,80,,,80,,120,,,,,,,,,,,,,,,,,,,440,960,"45,83%",
Lastro de concreto drenagem para canaletas,50m/dia,,40,40,40,40,,,40,40,80,,,,,,,,,,,,,,,,,,,320,760,"42,11%",
Assentamento de canaletas,50m/dia,,40,40,40,40,,,40,40,80,,,,,,,,,,,,,,,,,,,320,760,"42,11%",
Arremates de juntas canaletas,30m/dia,,30,30,30,30,,,30,30,50,,,,,,,,,,,,,,,,,,,230,570,"40,35%",
Terraplenagem faixa de pista: faixa 20mx60m,03 faixas/dia,,3,3,3,3,,,3,3,1,,,,,,,,,,,,,,,,,,,19,57,"33,33%",
Base solo vermelho (preparação para o TSD - Lado Dir do acostamento),3 dias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"3,00","0,00%",
Camada do TSD no acostamento,2 dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,"0,00%",
Escavação para caixa separadora de água e óleo,1 dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,"0,00%",
Armação da estrutura da caixa separadora de água e óleo,20 dias,,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,7,19,"36,84%",
Concretagem tampas das canaletas na lateral do pátio (75cmx45cm),10 tampas / dia,,10,10,10,10,,,10,10,5,,,,,,,,,,,,,,,,,,,65,190,"34,21%",
Infra do balizamento,30m/dia,,50,50,50,50,,,50,50,0,,,,,,,,,,,,,,,,,,,300,450,"66,67%",
Conferência geral no projeto de balizamento,3 dias,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3,3,"100,00%",
